task_id,date,worker_id,worker_name,task_type,skill_level_required,zone_id,estimated_hours,actual_hours,status,quality_score,errors_count,rework_needed
T000046,2025-04-10,W013,Suresh Bhatt,Grafting - Cleft,expert,ZONE-E,0.6,0.68,completed,74.6,0,False
T000047,2025-04-10,W014,Geeta Rawat,Equipment Maintenance,intermediate,ZONE-D,1.5,2.05,completed,81.9,0,True
T000048,2025-04-10,W014,Geeta Rawat,Packing & Dispatch,basic,ZONE-E,2.0,2.14,completed,78.7,0,False
T000049,2025-04-10,W014,Geeta Rawat,Equipment Maintenance,intermediate,ZONE-E,1.5,1.65,completed,65.4,0,False
T000050,2025-04-10,W014,Geeta Rawat,Packing & Dispatch,basic,ZONE-A,2.0,2.32,completed,66.4,0,False
T000051,2025-04-10,W015,Abdul Rashid,Transplanting,basic,ZONE-C,1.5,1.49,completed,86.8,0,False
T000052,2025-04-10,W015,Abdul Rashid,Soil Preparation,basic,ZONE-F,3.0,2.87,completed,73.8,0,False
T000053,2025-04-10,W015,Abdul Rashid,Pruning,intermediate,ZONE-C,1.0,1.16,completed,75.6,0,False
T000054,2025-04-11,W001,Rajesh Kumar,Grafting - Whip and Tongue,expert,ZONE-F,0.5,0.37,completed,89.3,0,False
T000055,2025-04-11,W001,Rajesh Kumar,Soil Preparation,basic,ZONE-E,3.0,3.11,completed,73.5,0,True
T000056,2025-04-11,W001,Rajesh Kumar,Soil Preparation,basic,ZONE-D,3.0,3.26,completed,94.6,0,False
T000057,2025-04-11,W002,Priya Sharma,Disease Treatment,intermediate,ZONE-E,1.0,1.53,in_progress,0.0,0,False
T000058,2025-04-11,W002,Priya Sharma,Growth Measurement,intermediate,ZONE-D,2.0,2.11,completed,76.0,0,False
T000059,2025-04-11,W002,Priya Sharma,Soil Preparation,basic,ZONE-A,3.0,3.35,completed,60.1,0,False
T000060,2025-04-11,W003,Mohammad Iqbal,Shade Net Management,basic,ZONE-F,1.0,1.09,completed,71.0,0,False
T000061,2025-04-11,W003,Mohammad Iqbal,Grafting - Bud,intermediate,ZONE-F,0.4,0.64,completed,75.0,0,False
T000062,2025-04-11,W004,Sunita Devi,Soil Preparation,basic,ZONE-B,3.0,3.51,completed,72.0,0,False
T000063,2025-04-11,W004,Sunita Devi,Grafting - Bud,intermediate,ZONE-C,0.4,0.31,completed,52.9,0,False
T000064,2025-04-11,W004,Sunita Devi,Equipment Maintenance,intermediate,ZONE-C,1.5,1.37,completed,86.2,1,False
T000065,2025-04-11,W004,Sunita Devi,Transplanting,basic,ZONE-B,1.5,1.31,completed,67.2,0,False
T000066,2025-04-11,W005,Amit Singh,Grafting - Bud,intermediate,ZONE-F,0.4,0.28,completed,75.5,0,False
T000067,2025-04-11,W005,Amit Singh,Pruning,intermediate,ZONE-D,1.0,1.01,completed,65.6,0,False
T000068,2025-04-11,W005,Amit Singh,Shade Net Management,basic,ZONE-F,1.0,1.29,completed,88.1,0,False
T000069,2025-04-11,W005,Amit Singh,Transplanting,basic,ZONE-B,1.5,1.85,completed,60.1,0,False
T000070,2025-04-11,W006,Kavita Devi,Watering,basic,ZONE-F,1.5,1.81,completed,76.1,0,False
T000071,2025-04-11,W006,Kavita Devi,Transplanting,basic,ZONE-F,1.5,1.73,completed,76.7,0,False
T000072,2025-04-11,W006,Kavita Devi,Grafting - Whip and Tongue,expert,ZONE-A,0.5,0.56,completed,71.9,0,False
T000073,2025-04-11,W006,Kavita Devi,Grafting - Whip and Tongue,expert,ZONE-C,0.5,0.59,completed,87.2,0,False
T000074,2025-04-11,W006,Kavita Devi,Equipment Maintenance,intermediate,ZONE-E,1.5,1.64,completed,76.1,0,False
T000075,2025-04-11,W007,Vikram Thakur,Growth Measurement,intermediate,ZONE-B,2.0,2.16,completed,81.4,0,False
T000076,2025-04-11,W007,Vikram Thakur,Soil Preparation,basic,ZONE-F,3.0,3.7,completed,83.6,0,False
T000077,2025-04-11,W008,Fatima Begum,Packing & Dispatch,basic,ZONE-E,2.0,2.13,completed,88.2,0,False
T000078,2025-04-11,W008,Fatima Begum,Grafting - Whip and Tongue,expert,ZONE-C,0.5,0.68,completed,64.6,0,False
T000079,2025-04-11,W009,Ravi Shankar,Pruning,intermediate,ZONE-C,1.0,1.44,completed,68.4,0,False
T000080,2025-04-11,W009,Ravi Shankar,Equipment Maintenance,intermediate,ZONE-F,1.5,1.35,completed,59.0,0,False
T000081,2025-04-11,W009,Ravi Shankar,Shade Net Management,basic,ZONE-C,1.0,1.07,completed,83.2,0,False
T000082,2025-04-11,W010,Meena Kumari,Fertilizer Application,basic,ZONE-F,2.0,2.71,completed,84.2,1,False
T000083,2025-04-11,W010,Meena Kumari,Pruning,intermediate,ZONE-D,1.0,1.23,completed,79.2,0,False
T000084,2025-04-11,W010,Meena Kumari,Shade Net Management,basic,ZONE-E,1.0,0.94,completed,85.8,0,False
T000085,2025-04-11,W010,Meena Kumari,Watering,basic,ZONE-D,1.5,1.96,completed,76.0,0,False
T000086,2025-04-11,W011,Deepak Negi,Pest Inspection,intermediate,ZONE-E,2.5,2.8,completed,81.4,0,False
T000087,2025-04-11,W011,Deepak Negi,Transplanting,basic,ZONE-A,1.5,1.47,completed,81.7,0,False
T000088,2025-04-11,W012,Anita Rana,Pruning,intermediate,ZONE-A,1.0,1.18,completed,72.7,0,False
T000089,2025-04-11,W012,Anita Rana,Equipment Maintenance,intermediate,ZONE-C,1.5,1.84,incomplete,0.0,0,False
T000090,2025-04-11,W013,Suresh Bhatt,Grafting - Bud,intermediate,ZONE-F,0.4,0.18,completed,91.2,0,True
T000091,2025-04-11,W013,Suresh Bhatt,Growth Measurement,intermediate,ZONE-A,2.0,2.29,completed,82.5,0,False
T000092,2025-04-11,W013,Suresh Bhatt,Packing & Dispatch,basic,ZONE-F,2.0,2.37,completed,87.0,0,False
T000093,2025-04-11,W013,Suresh Bhatt,Growth Measurement,intermediate,ZONE-A,2.0,1.98,completed,89.5,0,False
T000094,2025-04-11,W014,Geeta Rawat,Watering,basic,ZONE-B,1.5,1.43,completed,69.9,0,False
T000095,2025-04-11,W014,Geeta Rawat,Growth Measurement,intermediate,ZONE-A,2.0,2.45,completed,58.3,0,False
T000096,2025-04-11,W014,Geeta Rawat,Pest Inspection,intermediate,ZONE-A,2.5,2.54,completed,90.6,1,False
T000097,2025-04-11,W014,Geeta Rawat,Pest Inspection,intermediate,ZONE-F,2.5,2.77,completed,86.4,0,False
T000098,2025-04-11,W014,Geeta Rawat,Grafting - Cleft,expert,ZONE-D,0.6,0.62,completed,94.6,0,True
T000099,2025-04-11,W015,Abdul Rashid,Pest Inspection,intermediate,ZONE-A,2.5,2.98,completed,69.7,0,False
T000100,2025-04-11,W015,Abdul Rashid,Growth Measurement,intermediate,ZONE-E,2.0,2.12,completed,69.9,0,False
T000101,2025-04-12,W001,Rajesh Kumar,Transplanting,basic,ZONE-F,1.5,1.68,completed,86.2,0,False
T000102,2025-04-12,W001,Rajesh Kumar,Grafting - Cleft,expert,ZONE-D,0.6,0.46,completed,77.3,0,False
T000103,2025-04-12,W002,Priya Sharma,Grafting - Whip and Tongue,expert,ZONE-D,0.5,0.27,completed,92.2,0,False
T000104,2025-04-12,W002,Priya Sharma,Shade Net Management,basic,ZONE-D,1.0,0.92,completed,80.0,0,False
T000105,2025-04-12,W002,Priya Sharma,Shade Net Management,basic,ZONE-C,1.0,0.8,completed,96.2,1,False
T000106,2025-04-12,W002,Priya Sharma,Soil Preparation,basic,ZONE-E,3.0,3.47,completed,69.0,0,False
T000107,2025-04-12,W002,Priya Sharma,Pest Inspection,intermediate,ZONE-D,2.5,2.98,completed,63.2,0,False
T000108,2025-04-12,W003,Mohammad Iqbal,Disease Treatment,intermediate,ZONE-E,1.0,1.27,completed,83.2,0,False
T000109,2025-04-12,W003,Mohammad Iqbal,Grafting - Cleft,expert,ZONE-B,0.6,0.65,completed,98.4,0,True
T000110,2025-04-12,W003,Mohammad Iqbal,Watering,basic,ZONE-B,1.5,1.92,completed,84.4,0,False
T000111,2025-04-12,W003,Mohammad Iqbal,Pest Inspection,intermediate,ZONE-F,2.5,2.77,completed,90.4,0,False
T000112,2025-04-12,W004,Sunita Devi,Transplanting,basic,ZONE-D,1.5,1.2,completed,71.2,1,False
T000113,2025-04-12,W004,Sunita Devi,Growth Measurement,intermediate,ZONE-E,2.0,2.42,completed,41.9,0,False
T000114,2025-04-12,W004,Sunita Devi,Watering,basic,ZONE-A,1.5,1.64,completed,81.0,0,False
T000115,2025-04-12,W004,Sunita Devi,Packing & Dispatch,basic,ZONE-C,2.0,2.33,completed,57.5,0,False
T000116,2025-04-12,W004,Sunita Devi,Disease Treatment,intermediate,ZONE-C,1.0,1.34,completed,68.9,0,False
T000117,2025-04-12,W005,Amit Singh,Pest Inspection,intermediate,ZONE-B,2.5,2.66,completed,75.6,0,False
T000118,2025-04-12,W005,Amit Singh,Grafting - Cleft,expert,ZONE-E,0.6,0.57,completed,90.2,0,False
T000119,2025-04-12,W005,Amit Singh,Pruning,intermediate,ZONE-D,1.0,1.18,completed,71.3,0,False
T000120,2025-04-12,W005,Amit Singh,Equipment Maintenance,intermediate,ZONE-B,1.5,1.91,completed,63.5,0,False
T000121,2025-04-12,W005,Amit Singh,Shade Net Management,basic,ZONE-E,1.0,1.23,completed,86.4,0,False
T000122,2025-04-12,W006,Kavita Devi,Pest Inspection,intermediate,ZONE-B,2.5,2.79,completed,81.7,0,False
T000123,2025-04-12,W006,Kavita Devi,Equipment Maintenance,intermediate,ZONE-D,1.5,1.74,completed,78.4,0,False
T000124,2025-04-12,W006,Kavita Devi,Pest Inspection,intermediate,ZONE-E,2.5,3.14,completed,91.7,0,False
T000125,2025-04-12,W006,Kavita Devi,Transplanting,basic,ZONE-F,1.5,1.62,completed,66.7,0,False
T000126,2025-04-12,W006,Kavita Devi,Growth Measurement,intermediate,ZONE-A,2.0,1.99,completed,68.3,0,False
T000127,2025-04-12,W007,Vikram Thakur,Grafting - Cleft,expert,ZONE-B,0.6,0.44,completed,78.0,0,False
T000128,2025-04-12,W007,Vikram Thakur,Grafting - Whip and Tongue,expert,ZONE-C,0.5,0.54,completed,99.0,0,False
T000129,2025-04-12,W007,Vikram Thakur,Grafting - Cleft,expert,ZONE-E,0.6,0.92,completed,77.2,1,False
T000130,2025-04-12,W007,Vikram Thakur,Pest Inspection,intermediate,ZONE-D,2.5,2.4,completed,70.8,0,False
T000131,2025-04-12,W007,Vikram Thakur,Disease Treatment,intermediate,ZONE-D,1.0,0.59,completed,85.8,0,False
T000132,2025-04-12,W008,Fatima Begum,Pest Inspection,intermediate,ZONE-D,2.5,2.84,completed,98.3,0,False
T000133,2025-04-12,W008,Fatima Begum,Pruning,intermediate,ZONE-A,1.0,1.38,in_progress,0.0,0,False
T000134,2025-04-12,W008,Fatima Begum,Grafting - Cleft,expert,ZONE-D,0.6,0.59,completed,68.3,0,False
T000135,2025-04-12,W008,Fatima Begum,Pruning,intermediate,ZONE-B,1.0,1.05,completed,77.9,0,False
T000136,2025-04-12,W009,Ravi Shankar,Transplanting,basic,ZONE-A,1.5,1.75,completed,70.0,0,False
T000137,2025-04-12,W009,Ravi Shankar,Grafting - Cleft,expert,ZONE-A,0.6,0.53,completed,89.6,0,False
T000138,2025-04-12,W009,Ravi Shankar,Equipment Maintenance,intermediate,ZONE-B,1.5,1.76,completed,79.5,0,False
T000139,2025-04-12,W009,Ravi Shankar,Grafting - Cleft,expert,ZONE-B,0.6,0.81,in_progress,0.0,0,False
T000140,2025-04-12,W010,Meena Kumari,Grafting - Bud,intermediate,ZONE-A,0.4,0.65,completed,80.8,0,False
T000141,2025-04-12,W010,Meena Kumari,Packing & Dispatch,basic,ZONE-E,2.0,2.21,completed,81.4,0,False
T000142,2025-04-12,W010,Meena Kumari,Soil Preparation,basic,ZONE-B,3.0,3.61,completed,76.3,0,True
T000143,2025-04-12,W010,Meena Kumari,Fertilizer Application,basic,ZONE-A,2.0,2.31,completed,83.7,0,False
T000144,2025-04-12,W010,Meena Kumari,Equipment Maintenance,intermediate,ZONE-E,1.5,1.91,completed,73.5,0,False
T000145,2025-04-12,W011,Deepak Negi,Transplanting,basic,ZONE-D,1.5,1.77,completed,70.0,0,False
T000146,2025-04-12,W011,Deepak Negi,Equipment Maintenance,intermediate,ZONE-C,1.5,1.58,completed,75.3,0,False
T000147,2025-04-12,W011,Deepak Negi,Packing & Dispatch,basic,ZONE-E,2.0,2.3,completed,91.7,0,False
T000148,2025-04-12,W012,Anita Rana,Grafting - Whip and Tongue,expert,ZONE-D,0.5,0.65,completed,64.9,0,False
T000149,2025-04-12,W012,Anita Rana,Soil Preparation,basic,ZONE-F,3.0,3.39,completed,84.3,0,False
T000150,2025-04-12,W012,Anita Rana,Equipment Maintenance,intermediate,ZONE-D,1.5,1.53,completed,77.6,0,False
T000151,2025-04-12,W012,Anita Rana,Watering,basic,ZONE-F,1.5,1.82,completed,79.6,0,False
T000152,2025-04-12,W012,Anita Rana,Pruning,intermediate,ZONE-D,1.0,1.22,completed,70.5,0,False
T000153,2025-04-12,W013,Suresh Bhatt,Watering,basic,ZONE-D,1.5,1.39,completed,77.6,1,False
T000154,2025-04-12,W013,Suresh Bhatt,Pruning,intermediate,ZONE-F,1.0,0.89,completed,77.2,0,False
T000155,2025-04-12,W013,Suresh Bhatt,Pruning,intermediate,ZONE-F,1.0,0.93,completed,78.8,0,False
T000156,2025-04-12,W013,Suresh Bhatt,Disease Treatment,intermediate,ZONE-E,1.0,1.13,in_progress,0.0,0,False
T000157,2025-04-12,W013,Suresh Bhatt,Transplanting,basic,ZONE-A,1.5,1.81,completed,68.2,0,False
T000158,2025-04-12,W014,Geeta Rawat,Disease Treatment,intermediate,ZONE-B,1.0,0.83,completed,66.5,0,False
T000159,2025-04-12,W014,Geeta Rawat,Grafting - Whip and Tongue,expert,ZONE-C,0.5,0.75,completed,79.8,0,False
T000160,2025-04-12,W014,Geeta Rawat,Pest Inspection,intermediate,ZONE-A,2.5,2.88,completed,80.5,0,False
T000161,2025-04-12,W014,Geeta Rawat,Soil Preparation,basic,ZONE-D,3.0,3.5,completed,62.5,0,False
T000162,2025-04-12,W014,Geeta Rawat,Soil Preparation,basic,ZONE-B,3.0,3.36,completed,77.8,0,False
T000163,2025-04-12,W015,Abdul Rashid,Watering,basic,ZONE-E,1.5,2.11,completed,75.8,0,False
T000164,2025-04-12,W015,Abdul Rashid,Disease Treatment,intermediate,ZONE-F,1.0,1.08,completed,83.6,0,False
T000165,2025-04-14,W001,Rajesh Kumar,Grafting - Cleft,expert,ZONE-B,0.6,1.0,completed,77.1,0,True
T000166,2025-04-14,W001,Rajesh Kumar,Soil Preparation,basic,ZONE-B,3.0,3.06,completed,85.9,0,False
T000167,2025-04-14,W001,Rajesh Kumar,Grafting - Cleft,expert,ZONE-F,0.6,1.07,completed,87.6,0,False
T000168,2025-04-14,W002,Priya Sharma,Transplanting,basic,ZONE-A,1.5,1.51,completed,90.8,0,False
T000169,2025-04-14,W002,Priya Sharma,Grafting - Whip and Tongue,expert,ZONE-B,0.5,0.28,in_progress,0.0,0,False
T000170,2025-04-14,W002,Priya Sharma,Fertilizer Application,basic,ZONE-A,2.0,2.13,completed,78.5,0,False
T000171,2025-04-14,W002,Priya Sharma,Growth Measurement,intermediate,ZONE-E,2.0,2.3,completed,100.0,0,False
T000172,2025-04-14,W003,Mohammad Iqbal,Grafting - Whip and Tongue,expert,ZONE-C,0.5,0.75,completed,70.5,0,False
T000173,2025-04-14,W003,Mohammad Iqbal,Grafting - Bud,intermediate,ZONE-B,0.4,0.61,completed,95.8,0,False
T000174,2025-04-14,W003,Mohammad Iqbal,Disease Treatment,intermediate,ZONE-B,1.0,1.05,in_progress,0.0,0,False
T000175,2025-04-14,W003,Mohammad Iqbal,Shade Net Management,basic,ZONE-B,1.0,1.1,completed,81.4,0,False
T000176,2025-04-14,W004,Sunita Devi,Packing & Dispatch,basic,ZONE-D,2.0,2.42,completed,100.0,0,False
T000177,2025-04-14,W004,Sunita Devi,Disease Treatment,intermediate,ZONE-B,1.0,1.08,completed,55.3,0,False
T000178,2025-04-14,W005,Amit Singh,Watering,basic,ZONE-F,1.5,1.92,completed,75.7,0,False
T000179,2025-04-14,W005,Amit Singh,Growth Measurement,intermediate,ZONE-F,2.0,2.37,completed,65.5,0,False
T000180,2025-04-14,W005,Amit Singh,Watering,basic,ZONE-B,1.5,1.95,completed,99.1,0,False
T000181,2025-04-14,W006,Kavita Devi,Shade Net Management,basic,ZONE-C,1.0,1.04,completed,78.4,0,False
T000182,2025-04-14,W006,Kavita Devi,Packing & Dispatch,basic,ZONE-E,2.0,2.33,completed,74.7,0,False
T000183,2025-04-14,W006,Kavita Devi,Packing & Dispatch,basic,ZONE-C,2.0,2.21,completed,68.3,0,False
T000184,2025-04-14,W006,Kavita Devi,Soil Preparation,basic,ZONE-E,3.0,3.88,completed,77.7,0,True
T000185,2025-04-14,W006,Kavita Devi,Disease Treatment,intermediate,ZONE-B,1.0,1.15,completed,75.2,0,False
T000186,2025-04-14,W007,Vikram Thakur,Watering,basic,ZONE-F,1.5,1.9,completed,83.5,0,False
T000187,2025-04-14,W007,Vikram Thakur,Pest Inspection,intermediate,ZONE-B,2.5,2.89,completed,96.1,0,False
T000188,2025-04-14,W007,Vikram Thakur,Growth Measurement,intermediate,ZONE-E,2.0,2.11,completed,97.9,0,False
T000189,2025-04-14,W007,Vikram Thakur,Grafting - Bud,intermediate,ZONE-E,0.4,0.37,completed,95.2,0,False
T000190,2025-04-14,W007,Vikram Thakur,Equipment Maintenance,intermediate,ZONE-F,1.5,1.7,completed,86.0,0,False
T000191,2025-04-14,W008,Fatima Begum,Pruning,intermediate,ZONE-D,1.0,1.2,completed,88.1,0,False
T000192,2025-04-14,W008,Fatima Begum,Pest Inspection,intermediate,ZONE-E,2.5,2.78,completed,67.6,0,False
T000193,2025-04-14,W008,Fatima Begum,Pruning,intermediate,ZONE-F,1.0,1.3,completed,89.1,0,False
T000194,2025-04-14,W008,Fatima Begum,Disease Treatment,intermediate,ZONE-A,1.0,1.23,completed,82.3,0,False
T000195,2025-04-14,W008,Fatima Begum,Grafting - Whip and Tongue,expert,ZONE-B,0.5,0.86,completed,77.9,0,True
T000196,2025-04-14,W009,Ravi Shankar,Pruning,intermediate,ZONE-A,1.0,1.13,completed,91.4,0,False
T000197,2025-04-14,W009,Ravi Shankar,Growth Measurement,intermediate,ZONE-F,2.0,2.23,completed,69.6,0,False
T000198,2025-04-14,W009,Ravi Shankar,Shade Net Management,basic,ZONE-A,1.0,1.18,completed,64.2,0,False
T000199,2025-04-14,W010,Meena Kumari,Packing & Dispatch,basic,ZONE-F,2.0,2.57,completed,83.9,0,False
T000200,2025-04-14,W010,Meena Kumari,Pest Inspection,intermediate,ZONE-F,2.5,2.51,completed,100.0,0,False
T000201,2025-04-14,W010,Meena Kumari,Equipment Maintenance,intermediate,ZONE-E,1.5,1.88,completed,94.2,0,False
T000202,2025-04-14,W010,Meena Kumari,Pest Inspection,intermediate,ZONE-D,2.5,2.57,completed,92.9,0,False
T000203,2025-04-14,W011,Deepak Negi,Watering,basic,ZONE-E,1.5,1.82,completed,83.4,0,False
T000204,2025-04-14,W011,Deepak Negi,Transplanting,basic,ZONE-D,1.5,1.39,completed,58.9,0,False
T000205,2025-04-14,W011,Deepak Negi,Packing & Dispatch,basic,ZONE-A,2.0,2.28,completed,76.5,0,False
T000206,2025-04-14,W011,Deepak Negi,Watering,basic,ZONE-D,1.5,1.87,completed,78.4,0,False
T000207,2025-04-14,W012,Anita Rana,Packing & Dispatch,basic,ZONE-A,2.0,2.29,completed,78.0,0,False
T000208,2025-04-14,W012,Anita Rana,Pruning,intermediate,ZONE-A,1.0,0.78,completed,76.3,0,False
T000209,2025-04-14,W012,Anita Rana,Grafting - Whip and Tongue,expert,ZONE-E,0.5,0.66,completed,65.3,0,True
T000210,2025-04-14,W012,Anita Rana,Transplanting,basic,ZONE-B,1.5,1.77,completed,75.5,0,False
T000211,2025-04-14,W013,Suresh Bhatt,Pest Inspection,intermediate,ZONE-C,2.5,2.51,completed,93.4,0,False
T000212,2025-04-14,W013,Suresh Bhatt,Shade Net Management,basic,ZONE-C,1.0,1.31,in_progress,0.0,0,False
T000213,2025-04-14,W013,Suresh Bhatt,Watering,basic,ZONE-B,1.5,1.95,completed,92.9,0,False
T000214,2025-04-14,W013,Suresh Bhatt,Soil Preparation,basic,ZONE-A,3.0,3.56,completed,71.8,0,False
T000215,2025-04-14,W013,Suresh Bhatt,Shade Net Management,basic,ZONE-E,1.0,0.78,completed,83.8,0,False
T000216,2025-04-14,W014,Geeta Rawat,Grafting - Bud,intermediate,ZONE-F,0.4,0.49,completed,79.4,0,False
T000217,2025-04-14,W014,Geeta Rawat,Equipment Maintenance,intermediate,ZONE-F,1.5,1.42,completed,81.9,0,False
T000218,2025-04-14,W014,Geeta Rawat,Grafting - Bud,intermediate,ZONE-A,0.4,0.42,completed,85.7,0,False
T000219,2025-04-14,W014,Geeta Rawat,Shade Net Management,basic,ZONE-E,1.0,1.52,completed,75.8,0,False
T000220,2025-04-14,W015,Abdul Rashid,Watering,basic,ZONE-D,1.5,1.6,completed,78.3,0,True
T000221,2025-04-14,W015,Abdul Rashid,Growth Measurement,intermediate,ZONE-A,2.0,2.37,incomplete,0.0,0,False
T000222,2025-04-14,W015,Abdul Rashid,Packing & Dispatch,basic,ZONE-B,2.0,2.72,completed,97.1,0,False
T000223,2025-04-14,W015,Abdul Rashid,Grafting - Whip and Tongue,expert,ZONE-B,0.5,0.19,incomplete,0.0,0,False
T000224,2025-04-15,W001,Rajesh Kumar,Shade Net Management,basic,ZONE-A,1.0,1.3,completed,60.5,0,False
T000225,2025-04-15,W001,Rajesh Kumar,Grafting - Whip and Tongue,expert,ZONE-B,0.5,0.7,completed,81.6,0,False
T000226,2025-04-15,W002,Priya Sharma,Pest Inspection,intermediate,ZONE-B,2.5,2.98,completed,88.0,0,False
T000227,2025-04-15,W002,Priya Sharma,Shade Net Management,basic,ZONE-D,1.0,1.14,completed,82.3,0,False
