graft_id,date,worker_id,worker_name,method,rootstock_variety,rootstock_age_days,scion_variety,scion_freshness_days,temperature_at_graft,humidity_at_graft,time_of_day,callus_formation_pct,cambium_alignment_pct,success,success_probability,failure_reason,zone_id
GR-2025-00109,2025-04-18,W003,Mohammad Iqbal,bark_grafting,Kashmiri Walnut,127,Pusa Kanchan,4,26.7,66.2,morning,62.5,83.1,True,0.872,,ZONE-A
GR-2025-00110,2025-04-18,W002,Priya Sharma,cleft_grafting,Local Variety,158,Franquette,3,22.1,56.1,morning,68.5,85.3,True,0.909,,ZONE-C
GR-2025-00111,2025-04-18,W007,Vikram Thakur,bark_grafting,Franquette,154,Local Variety,0,22.1,63.6,morning,67.4,89.4,True,0.932,,ZONE-A
GR-2025-00112,2025-04-18,W010,Meena Kumari,whip_and_tongue,Kashmiri Walnut,191,Kashmiri Walnut,1,32.5,72.3,afternoon,70.8,80.5,True,0.944,,ZONE-A
GR-2025-00113,2025-04-18,W002,Priya Sharma,bud_grafting,Pusa Kanchan,238,Local Variety,0,22.0,68.6,morning,93.5,76.6,True,0.848,,ZONE-C
GR-2025-00114,2025-04-18,W006,Kavita Devi,bark_grafting,Kashmiri Walnut,218,Chandler,1,18.9,81.0,afternoon,82.6,78.3,True,0.785,,ZONE-B
GR-2025-00115,2025-04-18,W002,Priya Sharma,bud_grafting,Pusa Kanchan,222,Kashmiri Walnut,2,17.7,51.2,morning,89.9,71.4,True,0.809,,ZONE-D
GR-2025-00116,2025-04-18,W009,Ravi Shankar,bark_grafting,Franquette,195,Chandler,0,37.8,44.6,evening,99.0,91.1,True,0.838,,ZONE-E
GR-2025-00117,2025-04-18,W009,Ravi Shankar,bark_grafting,Chandler,183,Chandler,2,26.4,58.4,morning,94.7,89.4,True,0.882,,ZONE-F
GR-2025-00118,2025-04-18,W006,Kavita Devi,bark_grafting,Franquette,258,Pusa Kanchan,2,21.1,59.8,morning,71.8,83.0,True,0.773,,ZONE-E
GR-2025-00119,2025-04-18,W009,Ravi Shankar,cleft_grafting,Franquette,231,Pusa Kanchan,5,27.6,79.3,morning,92.1,72.0,True,0.845,,ZONE-C
GR-2025-00120,2025-04-18,W010,Meena Kumari,cleft_grafting,Local Variety,143,Chandler,2,23.1,66.2,morning,84.6,99.4,True,0.88,,ZONE-E
GR-2025-00121,2025-04-18,W006,Kavita Devi,whip_and_tongue,Chandler,228,Pusa Kanchan,0,30.6,52.4,afternoon,83.7,75.5,True,0.908,,ZONE-D
GR-2025-00122,2025-04-18,W014,Geeta Rawat,bark_grafting,Chandler,194,Local Variety,6,24.1,63.2,morning,73.2,91.3,True,0.882,,ZONE-D
GR-2025-00123,2025-04-18,W002,Priya Sharma,cleft_grafting,Kashmiri Walnut,267,Local Variety,1,29.2,56.7,morning,75.2,88.8,True,0.858,,ZONE-F
GR-2025-00124,2025-04-18,W006,Kavita Devi,side_veneer,Local Variety,292,Franquette,4,29.4,84.4,morning,61.2,80.0,True,0.828,,ZONE-F
GR-2025-00125,2025-04-19,W004,Sunita Devi,cleft_grafting,Franquette,276,Local Variety,5,30.6,41.9,morning,88.7,88.5,True,0.772,,ZONE-A
GR-2025-00126,2025-04-19,W003,Mohammad Iqbal,side_veneer,Local Variety,233,Pusa Kanchan,0,34.9,62.3,afternoon,17.8,32.6,False,0.895,infection,ZONE-C
GR-2025-00127,2025-04-19,W010,Meena Kumari,cleft_grafting,Kashmiri Walnut,239,Local Variety,0,23.3,63.6,morning,68.8,80.0,True,0.919,,ZONE-A
GR-2025-00128,2025-04-19,W014,Geeta Rawat,bud_grafting,Kashmiri Walnut,188,Kashmiri Walnut,6,27.3,60.2,afternoon,85.2,94.2,True,0.908,,ZONE-B
GR-2025-00129,2025-04-19,W012,Anita Rana,cleft_grafting,Kashmiri Walnut,283,Local Variety,6,25.6,63.5,morning,89.7,81.0,True,0.881,,ZONE-C
GR-2025-00130,2025-04-19,W008,Fatima Begum,bark_grafting,Chandler,254,Chandler,1,33.7,69.7,morning,96.0,78.4,True,0.873,,ZONE-B
GR-2025-00131,2025-04-19,W005,Amit Singh,bud_grafting,Kashmiri Walnut,204,Kashmiri Walnut,5,33.0,51.9,morning,60.2,87.4,True,0.851,,ZONE-F
GR-2025-00132,2025-04-19,W003,Mohammad Iqbal,whip_and_tongue,Franquette,163,Kashmiri Walnut,5,17.0,56.0,evening,82.5,89.4,True,0.864,,ZONE-A
GR-2025-00133,2025-04-19,W011,Deepak Negi,bud_grafting,Chandler,244,Kashmiri Walnut,1,15.1,73.6,morning,90.3,73.6,True,0.849,,ZONE-B
GR-2025-00134,2025-04-19,W009,Ravi Shankar,bark_grafting,Chandler,229,Local Variety,5,23.1,62.6,afternoon,22.0,30.5,False,0.868,infection,ZONE-C
GR-2025-00135,2025-04-19,W005,Amit Singh,bud_grafting,Chandler,224,Kashmiri Walnut,0,28.9,57.5,morning,86.5,99.8,True,0.874,,ZONE-F
GR-2025-00136,2025-04-21,W015,Abdul Rashid,whip_and_tongue,Local Variety,273,Kashmiri Walnut,6,27.6,72.0,afternoon,22.7,25.0,False,0.878,infection,ZONE-C
GR-2025-00137,2025-04-21,W001,Rajesh Kumar,bark_grafting,Local Variety,144,Franquette,4,31.0,77.6,afternoon,70.7,87.1,True,0.859,,ZONE-C
GR-2025-00138,2025-04-21,W009,Ravi Shankar,bud_grafting,Kashmiri Walnut,282,Pusa Kanchan,1,27.0,63.6,morning,77.6,85.9,True,0.799,,ZONE-D
GR-2025-00139,2025-04-21,W010,Meena Kumari,whip_and_tongue,Pusa Kanchan,168,Chandler,3,26.1,78.5,morning,68.7,93.1,True,0.943,,ZONE-E
GR-2025-00140,2025-04-21,W015,Abdul Rashid,side_veneer,Chandler,160,Pusa Kanchan,1,23.9,60.7,evening,93.7,91.6,True,0.918,,ZONE-A
GR-2025-00141,2025-04-21,W014,Geeta Rawat,side_veneer,Chandler,212,Pusa Kanchan,0,26.3,55.0,morning,91.1,77.1,True,0.967,,ZONE-C
GR-2025-00142,2025-04-21,W014,Geeta Rawat,bark_grafting,Franquette,284,Kashmiri Walnut,5,26.4,59.1,evening,81.7,93.8,True,0.857,,ZONE-C
GR-2025-00143,2025-04-21,W010,Meena Kumari,whip_and_tongue,Local Variety,151,Chandler,3,23.3,62.2,evening,79.7,76.0,True,0.965,,ZONE-F
GR-2025-00144,2025-04-21,W005,Amit Singh,whip_and_tongue,Pusa Kanchan,294,Chandler,2,20.4,74.7,afternoon,72.6,83.6,True,0.829,,ZONE-A
GR-2025-00145,2025-04-21,W011,Deepak Negi,side_veneer,Kashmiri Walnut,153,Franquette,6,22.3,82.0,morning,61.9,85.4,True,0.809,,ZONE-F
GR-2025-00146,2025-04-21,W010,Meena Kumari,whip_and_tongue,Local Variety,141,Kashmiri Walnut,2,18.8,72.8,afternoon,85.9,98.3,True,0.94,,ZONE-A
GR-2025-00147,2025-04-21,W015,Abdul Rashid,bud_grafting,Franquette,158,Franquette,4,24.1,69.1,morning,78.3,92.1,True,0.852,,ZONE-F
GR-2025-00148,2025-04-21,W005,Amit Singh,bud_grafting,Chandler,271,Local Variety,3,14.6,43.8,morning,80.2,86.4,True,0.808,,ZONE-F
GR-2025-00149,2025-04-21,W009,Ravi Shankar,cleft_grafting,Pusa Kanchan,167,Kashmiri Walnut,1,23.8,81.6,evening,18.2,25.2,False,0.863,poor_callus_formation,ZONE-A
GR-2025-00150,2025-04-22,W007,Vikram Thakur,bud_grafting,Kashmiri Walnut,277,Chandler,4,25.6,41.1,morning,86.3,86.0,True,0.817,,ZONE-D
GR-2025-00151,2025-04-22,W009,Ravi Shankar,bark_grafting,Kashmiri Walnut,251,Chandler,0,11.7,74.6,morning,82.6,94.4,True,0.831,,ZONE-D
GR-2025-00152,2025-04-22,W015,Abdul Rashid,bark_grafting,Pusa Kanchan,205,Franquette,5,21.6,72.7,morning,96.7,82.8,True,0.94,,ZONE-C
GR-2025-00153,2025-04-22,W001,Rajesh Kumar,whip_and_tongue,Pusa Kanchan,208,Franquette,6,28.7,84.4,evening,73.1,93.6,True,0.832,,ZONE-E
GR-2025-00154,2025-04-22,W005,Amit Singh,bud_grafting,Local Variety,245,Franquette,5,17.3,61.1,morning,68.9,76.5,True,0.821,,ZONE-A
GR-2025-00155,2025-04-22,W015,Abdul Rashid,bud_grafting,Chandler,194,Local Variety,1,26.2,76.0,morning,61.8,96.4,True,0.843,,ZONE-E
GR-2025-00156,2025-04-22,W002,Priya Sharma,whip_and_tongue,Franquette,272,Pusa Kanchan,5,27.7,76.8,afternoon,17.4,40.8,False,0.875,desiccation,ZONE-B
